conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1895457424074494178,Fri Feb 28 12:54:00 +0000 2025,855,Akhirnya Pertamina terkapar di negeri sendiri. #IndonesiaGelap #KaburAjaDulu,1895457424074494178,https://pbs.twimg.com/media/Gk3o1j9akAAlaeC.jpg,,in,,7,51,318,https://x.com/Y_Radianto/status/1895457424074494178,1529772993530167297,Y_Radianto
1895345579611521443,Fri Feb 28 05:29:34 +0000 2025,65,Hari kerja terakhir karyawan Sritex... #IndonesiaGelap #KaburAjaDulu #DanantaraKonspirasiJahat,1895345579611521443,https://pbs.twimg.com/ext_tw_video_thumb/1895345323041501184/pu/img/wAIIDJ8uY2puYW0W.jpg,,in,Jakarta Selatan,3,24,19,https://x.com/RickyKardjono/status/1895345579611521443,941458748,RickyKardjono
1895312943539200303,Fri Feb 28 03:19:53 +0000 2025,157,Teriak di medsos #KaburAjaDulu . Faktanya Yaman keparat ini bisa hidup seenak udelnya disini.,1895312943539200303,,,in,"DKI Jakarta, Indonesia",11,116,29,https://x.com/Franken_blues/status/1895312943539200303,1301242545888849921,Franken_blues
1895066745599336483,Thu Feb 27 11:01:35 +0000 2025,17884,Barusan banget buka website Imigrasi New Zealand ngecekin syarat visa buat liburan. Landing page langsung ada pengumuman kalau yg mau jadi guru SD di NZ bisa dapat pathway jadi residen. Mana tau ada sobat #KaburAjaDulu yg butuh info ini yekan...,1895066745599336483,,,in,"Brisbane, Queensland",389,219,3759,https://x.com/AmirahWahdi/status/1895066745599336483,68827009,AmirahWahdi
1895018066637135963,Thu Feb 27 07:48:09 +0000 2025,1160,Bye Indonesia #KaburAjaDulu,1895018066637135963,https://pbs.twimg.com/media/Gkx04o7X0AAOFNB.jpg,,in,,14,35,186,https://x.com/qrivasi/status/1895018066637135963,752746497968484353,qrivasi
1894988907487621176,Thu Feb 27 05:52:17 +0000 2025,366,Hanya di Republik Konoha pensiunan ditunda gaji pensiunnya hanya karena disinyalir terlalu keras bersuara kepada penguasa. Ternyata lebih baik #KaburAjaDulu dan kembali ke Australia kendati hanya jadi pemulung dgn penghasilan setingkat Jenderal bintang 3. ( Tapi,1894988907487621176,https://pbs.twimg.com/ext_tw_video_thumb/1894988740206161920/pu/img/d5NTq9Ht4WF_7oL9.jpg,,in,Wherever you're not lookin',4,38,112,https://x.com/__AnakKolong/status/1894988907487621176,1159689173340585984,__AnakKolong
1894689471288991852,Wed Feb 26 10:02:26 +0000 2025,111,Suara Gen Z yang mengajak #KaburAjaDulu dan puluhan ribu teriakan mahasiswa yg menyerukan #IndonesiaGelap di puluhan kota DIANGGAP OMONG KOSONG oleh prabowo Prabowo membantah #IndonesiaGelap hanya berdasarkan ramalan yang dibuat lembaga asing bukan berdasar fakta yg terjadi saat,1894689471288991852,https://pbs.twimg.com/ext_tw_video_thumb/1894689268452499456/pu/img/cpcHfCvk5pjQy0OS.jpg,,in,,7,27,46,https://x.com/MurtadhaOne1/status/1894689471288991852,1178950184601935873,MurtadhaOne1
1894505797213983148,Tue Feb 25 21:52:34 +0000 2025,214,maaf gabisa ikutan trend #KaburAjaDulu soalnya indonesia seseru itu,1894505797213983148,https://pbs.twimg.com/amplify_video_thumb/1894505489888890880/img/U7z9YnKnaxrybRvD.jpg,,in,"Tangerang, Indonesia",0,197,5,https://x.com/nellesta12/status/1894505797213983148,2734530816,nellesta12
1894346274721468552,Tue Feb 25 13:48:34 +0000 2025,3340,Sept 2004 Munir #KaburAjaDulu ke Belanda dapat beasiswa S2. Stafnya di lembaga Imparsial nanya mau dipesenin tiket apa. Pilihannya KLM SQ Garuda. Munir pilih Garuda. Alasannya: Biar duitnya balik ke negara Dia mati diracun kompolotan di Garuda.,1894383992004382749,,Dandhy_Laksono,in,,49,35,1230,https://x.com/Dandhy_Laksono/status/1894383992004382749,159919812,Dandhy_Laksono
1894370121050984507,Tue Feb 25 12:53:27 +0000 2025,409,Sekarang giliran nganter si Adek #KaburAjaDulu lagi. Nyusul kakaknya yg kemarin sudah duluan berangkat. Karena double degree UI-UQ dia dapat visa kerja pasca studi sarjana. Saya dorong dia untuk cari pengalaman di sana. Sebelum nanti bikin perusahaan sendiri.,1894370121050984507,https://pbs.twimg.com/ext_tw_video_thumb/1894370015614291968/pu/img/DE52SnIYbXOwpAr7.jpg,,in,"Jakarta Selatan, DKI Jakarta",4,20,26,https://x.com/ismailfahmi/status/1894370121050984507,34075325,ismailfahmi
